theme,question,qid
Dog,What is it called when an animal is altered to prevent procreation?,86
Dog,"According to the text, what agency recommends altering dogs to prevent pregnancies?",87
Dog,What is typically surgically removed on male dogs to prevent procreation?,88
Dog,What is usually removed in female dogs to prevent pregnancy?,89
Dog,"In neutering, what is removed in a male dog?",90
Dog,"In neutering, what is removed in female dogs?",91
Dog,Hypersexual behavior in male dogs is diminished by what?,92
Dog,"According to the text, what is a possible side effect of neutering a female dog?",93
Dog,Female dogs are less likely to develop cancer if what happens?,94
Dog,What is increased in female dogs with neutering?,95
Dog,What is the name of the Border collie that knew over 1000 words?,96
Dog,In addition to interpreting body language and verbal commands dogs can also interpret what two other things?,97
Dog,What wild canine did better at a problem-solving experiment?,98
Dog,Perceiving information and retaining it is what?,99
Dog,What kind of memory skills do dogs have?,100
Dog,How many words did Chaser know?,101
Dog,Dogs are estimated to be domesticated as far back as what date range of years on the calendar?,102
Dog,Dog minds have been shaped by thousands of years of contact with what species?,103
Dog,What do some dog skills parallel in human beings?,104
Dog,What is a dog's responses to stimuli known as?,105
Dog,"More than any other species, dogs are able to do what with people?",106
Dog,Dogs have some social skills that parallel what?,107
Dog,"People communicate with dogs by voice commands, body language or posture and what else?",108
Dog,"Eye gaze, vocalization and body posture are examples of what?",109
Dog,"In addition to vocalization and body posture, how do people communicate with dogs?",110
Dog,"Which typically has thicker skin, dogs or wolves?",111
Dog,Dogs having ears that are not erect may be due to what?,112
Dog,What kind of features differentiate gray wolves from dogs?,113
Dog,How often do female wolves enter estrus?,114
Dog,"Instead of genetic traits for production, dogs are bred for what?",115
Dog,What is the common trait selected for dogs in overall breeding?,116
Dog,What do most dogs show less of than wolves?,117
Dog,Why were dogs initially selected?,118
Dog,"For wolves and dogs, how many fixed genes show a variation?",119
Dog,What is the larger count for numbers of dogs considered to populate the planet?,120
Dog,How many dogs are estimated to be in the world?,121
Dog,What are dog population estimates based on other than land uses?,122
Dog,"Like wolves, big domesticated dogs are considered what type of predator?",123
Dog,Wolves may act in what behavioral manner when attacking dogs?,124
Dog,What animal is reported to be killed more often than sheep by wolves in Croatia?,125
Dog,Dogs die as a result of Croatian wolf encounters more than what kind of animal?,126
Dog,What limits the feral dog population in Russia?,127
Dog,What large cat has a particular taste for dogs no matter how big the dog is?,128
Dog,What two reptiles kill dogs and consume them?,129
Dog,What big cat has a tendency to attack dogs?,130
Dog,What big cats in Indonesia also attack dogs?,131
Dog,What type of reptiles eat dogs?,132
Dog,What is a known predator of village dogs in India?,133
Dog,Dogs exhibit carnivore as well as what other type of dietary behavior?,134
Dog,"Because of what they eat, dogs are classified as what?",135
Dog,"Dogs have genes that allow them to thrive on what when compared to wolves, who cannot?",136
Dog,The majority of dog breeds have only been around for how long?,137
Dog,Hundreds of different dog breeds exist because of what?,138
Dog,Height measurements in dogs go from six inches for Chihuahuas to 30 inches in what breed?,139
Dog,How many different breeds are there?,140
Dog,Natural selection and what makes certain dogs behave certain ways?,141
Dog,What is responsible for different dog types and breeds today?,142
Dog,Animals that share characteristics that are different than what other animals in that species have is known as what?,143
Dog,Modern dog breeds are what type of classification which is maintained by modern kennel clubs?,144
Dog,The methods kennel clubs used to classify dogs is what?,145
Dog,A scientific study of dog genetics has shown only how many  types of dogs being determinably distinct?,146
Dog,"What, according to the text, are two examples of ""old world"" dogs?",147
Dog,the Border collie is an example of what type of dog?,148
Dog,How many main types of dogs are there?,149
Dog,What type of dogs are Shar Peis?,150
Dog,What is one of the complex behaviors pet dogs have gotten from wolves?,151
Dog,"What may make dogs have the ability to be trained by, play with and fit in with people?",152
Dog,Higher social attributes  and human relationships may have caused dogs to reach what as a species?,153
Dog,What is a complex behavior that dogs inherited from wolves?,154
Dog,Dogs had a worth to what type of early humans?,155
Dog,"Dogs have hunted with and done other things for people for a long time, but what is a more recent help to people they provide?",156
Dog,"Because of a dog's resourcefulness to people, they have been given what nickname?",157
Dog,Some cultures treat dogs as what rather than companions?,158
Dog,What did a dog's good hearing help humans with?,159
Dog,What is the Australian Aboriginal expression that indicates a very cold night?,160
Dog,What type of hunting is it called when humans and dogs hunt together?,161
Dog,What would have been the top benefit for dogs in camps?,162
Dog,The successful mixing of dogs with hunting is often given as a primary reason for what?,163
Dog,What did ancient people walk across from Siberia into North America?,164
Dog,Evidence places dogs in North America when?,165
Dog,Dogs contributed to what migration 1400 years ago?,166
Dog,"A grave from 12,000 BC was found to contain an older person and what else?",167
Dog,What two species have the most widespread bonding?,168
Dog,What decade showed a change in the way people kept dogs as pets?,169
Dog,In the 1950s and 1960s most dogs where kept where?,170
Dog,"Historically, who in particular had dogs as companions?",171
Dog,Dogs were kept where in the 1950s and 1960s as compared to today?,172
Dog,"The idea of what constitutes a family, from the human perspective, has enlarged to include what?",173
Dog,"When a person shapes a dog to conform to his expectations of behavior, it is called what?",174
Dog,A second major trend has been increasing the idea of family and home to include dogs in what?,175
Dog,It is easy to turn a canine into the perfect companion because so much of what is available?,176
Dog,How do dogs establish their territory as far as scent is concerned?,177
Dog,"What has become important to ensure dogs do not do things that humans don't want them to do, such as jumping?",178
Dog,How do most people describe the relationship with their dogs?,179
Dog,What television show uses a dominance model of dog and human relationships?,180
Dog,Most people today describe their dogs as what?,181
Dog,A study showed that a task dogs do is bringing in what from the lawn?,182
Dog,Dogs often help clean in the kitchen by licking what?,183
Dog,What do many dogs have to do in the families where they live?,184
Dog,The National Pet Owner Survey reported how many people had pet dogs in America between 2009 and 2010?,185
Dog,How many people in the United States are said to own dog?,186
Dog,An MRI study on dogs proved that dogs have the same response as humans to what?,187
Dog,An MRI study on dogs proved that dogs use the same parts of what as humans?,188
Dog,What technology was used to show that dogs respond to voices in the same brain parts as people?,189
Dog,Pointers and hounds are bred to do what?,190
Dog,What breed was Laika?,191
Dog,"What dog types, in the text, are used for hunting?",192
Dog,Some dogs help fishermen with what?,193
Dog,What kind of dogs help people with physical or mental disabilities?,194
Dog,"Early warning allows epileptics to get to safety, get medication or what else?",195
Dog,What are conformation shows also known as?,196
Dog,Who evaluates dogs at breed shows?,197
Dog,"What is another word for ""breed shows""?",198
Dog,What is the evaluator called in a breed show?,199
Dog,The breed standard only is about what?,200
Dog,"In addition to others, Western culture considers eating dog meat as what?",201
Dog,"The West, South Asia and Middle East think eating dogs is what?",202
Dog,Dog fat in some parts of Poland is thought to have what?,203
Dog,Why do people eat Gaejang-guk in the summer months?,204
Dog,What is dog meat boiled with to create Gaejang-guk?,205
Dog,What are two other ingredients in the dog meat recipe in Korea?,206
Dog,"During the 1980s and 1990s, how many people were killed annually because of dog bites?",207
Dog,"In the 2000s, how many people died every year because of dog bites?",208
Dog,"According to a 2008 CDC report, how many are bitten in the United States annually?",209
Dog,What decade saw an increase from 17 to 26 deaths caused by dogs?,210
Dog,"According to a Colorado study, dog bites are what in children as compared to adults?",211
Dog,"Out of 10,000 people, how many people are bitten by dogs in the United States?",212
Dog,"Out of 10,000 boys between five and nine years old, how many are bitten annually by dogs?",213
Dog,A dog scratch can lead to what medical condition?,214
Dog,Where was the study done that showed dog bites were less serious in children than adults?,215
Dog,"According to the text, dog scratches can cause what?",216
Dog,"In addition to dogs, what other animal is responsible for over 86,000 falls every year?",217
Dog,Vehicle accidents with resulting injuries that involve dogs are more common with what type of vehicle?,218
Dog,What is the common name of the species that causes Toxocariasis?,219
Dog,How are Toxicara canis infections spread?,220
Dog,About how many people get a Toxocara infection each year?,221
Dog,Toxocariasis is caused by what kind of eggs in dog feces?,222
Dog,What percentage of people in America are infected with the Toxocara infection?,223
Dog,How many Toxocara infection cases are reported annually in the US?,224
Dog,What percentage of soil contained T. canis eggs in Great Britain public parks?,225
Dog,"If toxocariasis is left untreated, what can happen to a person?",226
Dog,What year did a report state that research did not support better health for elderly people who own pets?,227
Dog,People with dogs get more of what than people with cats or no animals?,228
Dog,What do humans get exposed to with pets that may help them not get sick?,229
Dog,Dogs can act as a facilitator of what between human beings?,230
Dog,What is lessened when people are with their pet dogs?,231
Dog,People in wheelchairs have better social interactions with who when dogs are involved?,232
Dog,Dogs were taken where to help people with mental disorders socialize?,233
Dog,Therapy dogs can help increase what in people suffering with Alzheimer's?,234
Dog,What was decreased in children with ADHD when they were exposed to therapy dogs?,235
Dog,When did people start using dogs as therapy?,236
Dog,Children who have ADHD or conduct disorders respond better when what is a part of their treatment plan?,237
Dog,People with Alzheimer's smile and laugh more with what kind of therapy?,238
Dog,What can trained dogs detect by sniffing a person or a sample of their urine?,239
Dog,A dog can detect smells in one part per what?,240
Dog,What is the name of the dog with three heads in Greek mythology?,241
Dog,What did Cerberus guard?,242
Dog,What is the name of the dog with four eyes in Norse mythology?,243
Dog,What is the name of the dog in Philippine mythology who is responsible for lightning?,244
Dog,In what mythology do two canines watch over the Chinvat Bridge?,245
Dog,Who is the dog that guards Helheim?,246
Dog,Who is Tadaklan?,247
Dog,Who is Tadaklan's pet that is responsible for lightning?,248
Dog,What is the name of the god of death?,249
Dog,Who owns two dogs with four eyes each in Hindu mythology?,250
Dog,What do Yama's dogs watch over?,251
Dog,What does Muthappan use for his hunting dog for?,252
Dog,How are dogs viewed in Islam?,253
Dog,Why are dogs viewed as unclean in Islam?,254
Dog,What city made owing dogs illegal in 2015?,255
Dog,"In Britain, a dog used in a search at a mosque or a home occupied by Muslims must wear what?",256
Dog,Why are dogs seen as unclean in Islam?,257
Dog,When did it become illegal for a person to own a dog in The Hague?,258
Dog,What are sniffer dogs used by British police allowed to touch instead of a passenger?,259
Dog,What do dogs represent to Christians?,260
Dog,What does a dog represent in the Christian culture?,261
Dog,Three Asian countries see dogs as what?,262
Dog,"Thousands of years ago, dogs were depicted on the walls of what?",263
Dog,What scenes were popular in art during the Middle Ages?,264
Dog,What kind of art scene was popular in the Middle Ages?,265
Dog,"As relationships between people and dogs got closer, what happened to the art that had dogs in it?",266
Dog,Dogs can have the same health issues as who?,267
Dog,Which dog is not able to mount a female dog?,268
Dog,"When these feral dogs are approached by a person, they tend to do this 52% of the time?",269
Dog,"When these feral dogs are approached by a person, they tend to do this 11% of the time?",270
Dog,Dog cognition has been studied on what kind of dogs?,271
Dog,What has likely led to human success?,272
Dog,Studies that people are better off with dogs have been criticized for being what?,273
Dog,People who have cats or dogs make fewer visits where?,274
War_on_Terror,Which word did George W. Bush apologize for using when talking about the war?,275
War_on_Terror,When did George W. Bush first say 'war on terror'?,276
War_on_Terror,Where did Bush say the 'war on terror' begins?,277
War_on_Terror,What controversial term did George W. Bush use on 20 September 2001?,278
War_on_Terror,Where did George W. Bush give his 20 September 2001 address from?,279
War_on_Terror,What part of the government did George W. Bush address on 16 September 2001?,280
War_on_Terror,"What did Obama say the US is at war with, in 2009?",281
War_on_Terror,"What was the ""Global War on Terror"" officially renamed to in March 2009?",282
War_on_Terror,What term did Obama want the government to stop using?,283
War_on_Terror,Who said in 2012 that the fight would change from military to law enforcement?,284
War_on_Terror,"What did Barack Obama change the name of ""Global War on Terror' to?",285
War_on_Terror,Who spoke at Oxford University in December of 2013?,286
War_on_Terror,Who defined the goal in a speech in May of 2012?,287
War_on_Terror,"What year was ""Overseas Contingency Operations"" changed to ""Violent Extremism Countering?"" ",288
War_on_Terror,What was the Overseas Contingency Operation renamed as in 2009?,289
War_on_Terror,What did the Defense Department change its name to?,290
War_on_Terror,What university did Jeh Johnson work for?,291
War_on_Terror,What did Obama say the military fight would be replaced with?,292
War_on_Terror,Who did Pentagon staff members request to avoid the term war on terror?,293
War_on_Terror,Who said the 'war on terrorism' is 'an entire language of discourse'?,294
War_on_Terror,Who said that 9/11 drew a line between 'the civil and the savage'?,295
War_on_Terror,What did the Bush administration describe as parasitical?,296
War_on_Terror,What did the Bush administration describe as heroic?,297
War_on_Terror,What statement did John Jackson give?,298
War_on_Terror,Of whom does Richard Jackson cite many examples?,299
War_on_Terror,Who said the actions involved in war on terrorism are diffuse?,300
War_on_Terror,What is John Ashcroft's job?,301
War_on_Terror,Who did Jackson say was treacherous?,302
War_on_Terror,Who did Ashcroft say was brave?,303
War_on_Terror,What has clear criteria?,304
War_on_Terror,When did the Soviets leave Afghanistan?,305
War_on_Terror,Which countries supported Afghan islamists against the Soviets?,306
War_on_Terror,Who did Osama bin Laden volunteer to help fight in the 80s?,307
War_on_Terror,Which group later became al-Qaeda?,308
War_on_Terror,What took place from February 1979 to December 1989?,309
War_on_Terror,What group started forming in February 1996?,310
War_on_Terror,What did Osama bin Laden sign in May 1998?,311
War_on_Terror,Who did Osama bin Laden declare war against in a February 1998 video?,312
War_on_Terror,What war did al-Qaeda start in 1979?,313
War_on_Terror,Who sponsored bin Laden in 1996?,314
War_on_Terror,What document declared war on the Soviet Union?,315
War_on_Terror,How many people were killed when al-Qaeda attacked US embassies in 1998?,316
War_on_Terror,How many Americans were killed when al-Qaeda attacked US embassies in 1998?,317
War_on_Terror,What happened on 8 August 1997?,318
War_on_Terror,Where was the pharmaceutical plant said to produce 12% of Sudan's pharmaceutical needs?,319
War_on_Terror,"What happened to kill 224 people, including 50 Americans?",320
War_on_Terror,What percentage of Afghanistan's pharmaceutical needs were produced by the plant?,321
War_on_Terror,What operation killed several members of the Taliban?,322
War_on_Terror,Which US embassies were bombed in Operation Infinite Reach?,323
War_on_Terror,How many al-Qaeda operatives hijacked planes on 9/11?,324
War_on_Terror,How many planes were hijacked on 9/11?,325
War_on_Terror,Which al-Qaeda cell were the 9/11 hijackers members of?,326
War_on_Terror,How soon after planes crashed into them did the WTC towers collapse?,327
War_on_Terror,"What building is located in Shanksville, Virginia? ",328
War_on_Terror,"What area of Arlington, Pennsylvania did the fourth plane crash?",329
War_on_Terror,How many victims perished in addition to the 11 hijackers in the attacks?,330
War_on_Terror,Where were the airliners leaving from?,331
War_on_Terror,How long did it take for the Pentagon to collapse?,332
War_on_Terror,How many passengers died?,333
War_on_Terror,What cell were the passengers and crew part of?,334
War_on_Terror,Which plane crashed into the White House?,335
War_on_Terror,"What law was signed on Sep 14, 2001?",336
War_on_Terror,Who did the AUMF authorize the US military attacking?,337
War_on_Terror,What law did Congress refer to as a basic for the AUMF?,338
War_on_Terror,When was the War Powers Resolution passed?,339
War_on_Terror,What is UAMF also known as?,340
War_on_Terror,What was made law on 11 September 2001?,341
War_on_Terror,What resolution was written in 1974?,342
War_on_Terror,Which section of AUMF authorized armed forces to respond?,343
War_on_Terror,What month was the War Powers Resolution signed?,344
War_on_Terror,Who authorized AUMF?,345
War_on_Terror,What previous resolution did AUMF contradict?,346
War_on_Terror,When did the US invade Afghanistan?,347
War_on_Terror,Who helped the US invade Afghanistan?,348
War_on_Terror,What was the goal of the US invading Afghanistan?,349
War_on_Terror,Where did bin Laden escape to in Dec 2001?,350
War_on_Terror,What city fell by mid-October in the invasion of Afghanistan? ,351
War_on_Terror,"Who escaped to Tora Bora, Pakistan during the December battle?",352
War_on_Terror,When did Afghanistan forces invade the UK?,353
War_on_Terror,What is the name of the mountain range in Kabul?,354
War_on_Terror,Who escaped into Afghanistan in December?,355
War_on_Terror,What operation began in Feb 2010?,356
War_on_Terror,Where did Operation Moshtarak take place?,357
War_on_Terror,When did Afghanistan sign a security agreement with the US?,358
War_on_Terror,Where did the Taliban regroup in late 2001?,359
War_on_Terror,What operation did Coalition forces launch in February 2002?,360
War_on_Terror,What did Afghanistan and the US sign in December 2014?,361
War_on_Terror,What will continued NATO operations within Afghanistan be known as?,362
War_on_Terror,Where did Coalition forces regroup?,363
War_on_Terror,What was the name of the security agreement?,364
War_on_Terror,What was the goal of the 2002 Philippines deployment?,365
War_on_Terror,What humanitarian effort followed the 2002 military operation in the Philippines?,366
War_on_Terror,What did Operation Smiles do for the Philippines?,367
War_on_Terror,What island did Abu Islamiyah and Jemaah Sayyaf have a stronghold on?,368
War_on_Terror,What disbanded in November 2014?,369
War_on_Terror,"Who operated under the name ""PAMOC Augmentation Team?""",370
War_on_Terror,Who was deployed to help the Filipino Islamist groups?,371
War_on_Terror,How long had the Abu Sayyaf group been in Basilan?,372
War_on_Terror,What did PACOM Augmentation Team rename itself as?,373
War_on_Terror,What was the name of the operation to remove Abu Sayyaf?,374
War_on_Terror,Where was the headquarters of the Armed Forces of the Philippines?,375
War_on_Terror,"How many people were killed by US Special Forces on Sep 14, 2009?",376
War_on_Terror,What country's ships did some witnesses say were involved in the Baarawe attack?,377
War_on_Terror,What Somali group is affiliated with al-Qaeda?,378
War_on_Terror,What nationality was Saleh Ali Saleh Nabhan?,379
War_on_Terror,What did U.S. Special Forces do on 14 September 2002?,380
War_on_Terror,What was the title for Saleh Nabhan Saleh Ali?,381
War_on_Terror,Who was wanted in connection with the 2002 Kenyan attacks?,382
War_on_Terror,Witnesses from what village claim they saw French-flagged warships?,383
War_on_Terror,How many were captured in the 2002 Mombasa attacks?,384
War_on_Terror,What was the name of the village attacked in Mombasa?,385
War_on_Terror,What was the name of the Kenyan al-Qaeda group?,386
War_on_Terror,When did a Mali conflict begin?,387
War_on_Terror,What group were the Mali radicals affiliated with?,388
War_on_Terror,When did France provide troops in Mali?,389
War_on_Terror,What was Operation Serval's goal?,390
War_on_Terror,Where did a conflict begin in January 2013?,391
War_on_Terror,What government asked for help from the national community for combating Islamic militants?,392
War_on_Terror,When was Serval Operation launched? ,393
War_on_Terror,On whose behalf did the Malian government intervene?,394
War_on_Terror,When were al-Qaeda groups removed from northern Mali?,395
War_on_Terror,What did the French government struggle to maintain?,396
War_on_Terror,When did the first Gulf War begin?,397
War_on_Terror,How did the first Gulf War end?,398
War_on_Terror,Which region of Iraq do the Kurds live in?,399
War_on_Terror,Which region of Iraq do the Shi'a live in?,400
War_on_Terror,What was instituted to protect Iraq's Arab and Shi'a Kurdish population?,401
War_on_Terror,Who suffered attacks from the Hussein regime before the Gulf War?,402
War_on_Terror,What operation was launched against Iraq in November 1995?,403
War_on_Terror,What did Iraq fail to meet in 1995?,404
War_on_Terror,What Iraqi populations attacked the Hussein regime?,405
War_on_Terror,When was the first ground attack in the post-9/11 Iraq war?,406
War_on_Terror,Which nationalities worked together in the Battle of Umm Qasr?,407
War_on_Terror,When did the US capture Baghdad?,408
War_on_Terror,When did Bush say 'major combat operations' were complete in Iraq?,409
War_on_Terror,When did the Battle of Qasr Umm take place?,410
War_on_Terror,Who was captured in December 2006?,411
War_on_Terror,Who did the Bath regime include?,412
War_on_Terror,What country is Umm Qasr the capital of?,413
War_on_Terror,When did American forces fall?,414
War_on_Terror,When did Saddam Hussein announce the operations had ended?,415
War_on_Terror,Who denounced ISIS?,416
War_on_Terror,Which two groups do analysts believe have combined?,417
War_on_Terror,Where is ISIS's core organization?,418
War_on_Terror,What country did Syria covertly invade?,419
War_on_Terror,When did Obama launch airstrikes on ISIS?,420
War_on_Terror,"What law did Obama cite on Sep 9, 2014?",421
War_on_Terror,When did Obama make a speech about ISIS on TV?,422
War_on_Terror,When did Iraq reengage with the Obama administration?,423
War_on_Terror,Who did Iraq aim their airstrikes at?,424
War_on_Terror,Who is the president of Iraq?,425
War_on_Terror,Which countries did ISIS launch an air attack against on 21/22 September?,426
War_on_Terror,Which Pakistan president supported the US attacking the Taliban?,427
War_on_Terror,What was the name of the US's Afghanistan operation?,428
War_on_Terror,Who was the US Secretary of State in 2001?,429
War_on_Terror,Who said he had 'war-gamed' the US?,430
War_on_Terror,Which former president sided with the Taliban?,431
War_on_Terror,What did Colin Powell testify in 2006?,432
War_on_Terror,When did Musharraf give an anti-Islamism speech?,433
War_on_Terror,What did Musharraf say he'd combat?,434
War_on_Terror,What did Musharraf ban?,435
War_on_Terror,When were the militant organizations banned?,436
War_on_Terror,What was extremism committed to rooting out?,437
War_on_Terror,What would be allowed to give itself a new name?,438
War_on_Terror,When did Musharraf arrest Maulana Masood Azhar?,439
War_on_Terror,What group did Maulana Masood Azhar lead?,440
War_on_Terror,What group did Hafiz Muhammad Saeed lead?,441
War_on_Terror,What nationality is Zayn al-Abidn Muhammed Hasayn Abu Zubaydah?,442
War_on_Terror,Which third-highest-ranking al-Qaeda officer was captured?,443
War_on_Terror,What was the name of the Pakistani official that performed a number of raids?,444
War_on_Terror,What is the nationality of Ramzi bin al-Shibh?,445
War_on_Terror,Which US agency runs its drones in Pakistan?,446
War_on_Terror,Why did the US use the CIA instead of the Air Force to run drones?,447
War_on_Terror,Abuse of what term allowed a lack of a formal war declaration?,448
War_on_Terror,What term was Pakistan accused of abusing?,449
War_on_Terror,The term Global War on Terror required formally doing what?,450
War_on_Terror,Who wrote 'Letter to American People' in 2002?,451
War_on_Terror,Which group did Rumsfeld think was active in Kashmir?,452
War_on_Terror,What teams hunted for Bin Laden in Kashmir in 2002?,453
War_on_Terror,Who led the Harkat-ul-Mujahideen?,454
War_on_Terror,Who did the Kashmiri militant group Harkat-ul-Mujahideen attempt to hunt down?,455
War_on_Terror,Who is the leader of Kashmir?,456
War_on_Terror,Pakistan claimed al-Qaeda had close ties with what area?,457
War_on_Terror,Who did a US drone kill in Sep 2009?,458
War_on_Terror,What group did Ilyas Kashmiri lead?,459
War_on_Terror,"After 2009, who began fighting in Waziristan?",460
War_on_Terror,What group did Al-Badar Mujahideen break away from?,461
War_on_Terror,What did Al-Badar Mujahideen call for in 2012?,462
War_on_Terror,Who ordered the SUS Drone strike in September 2009?,463
War_on_Terror,What group was Bruce Riedel the leader of?,464
War_on_Terror,What faction broke away from Al-Badar Mujahideen?,465
War_on_Terror,How long was Waziristan the new battlefield?,466
War_on_Terror,When did terror groups call to end the jihad in Kashmir?,467
War_on_Terror,Who declared the Partnership Action Plan against Terrorism?,468
War_on_Terror,When was the Partnership Action Plan against Terrorism announced?,469
War_on_Terror,What was NATO's operation in the Mediterranean called?,470
War_on_Terror,What council decided to start operations in the mediterranean Sea in November 2002?,471
War_on_Terror,What day did Operation Active Endeavour start?,472
War_on_Terror,What were the countries who supported the US's post-9/11 invasions called?,473
War_on_Terror,Which country disavowed the Taliban?,474
War_on_Terror,How many soldiers did Pakistan contribute to fight the Taliban?,475
War_on_Terror,Where in Pakistan is Waziristan?,476
War_on_Terror,Where did Pakistan try to remove the Taliban and Al-Qaeda?,477
War_on_Terror,What action made support for the US increase?,478
War_on_Terror,Which country refused to send troops into Afghanistan?,479
War_on_Terror,How many soldiers did the coalition of the willing contribute?,480
War_on_Terror,What was Afghanistan attempting with the US's help?,481
War_on_Terror,What was the primary fighting force in southern Afghanistan?,482
War_on_Terror,How many troops did Canada send initially?,483
War_on_Terror,How many troops did Australia send initially?,484
War_on_Terror,How many troops did the Netherlands send initially?,485
War_on_Terror,How many special forces troops were there from Denmark?,486
War_on_Terror,How many British troops helped invade Denmark?,487
War_on_Terror,What type of vehicle did Estonia supply?,488
War_on_Terror,What new agency did Bush create after 9/11?,489
War_on_Terror,When was the DHS created?,490
War_on_Terror,What other massive agency's creation was the DHS compared to?,491
War_on_Terror,What did the Bush administration do instead of military efforts?,492
War_on_Terror,What Bush agency was created before 9/11?,493
War_on_Terror,What was consolidated into the Department of Homeland Security?,494
War_on_Terror,Which administration created the Department of Defense?,495
War_on_Terror,When was the Patriot Act passed?,496
War_on_Terror,What did the Patriot Act make it easier for law enforcement to search?,497
War_on_Terror,Which newspaper revealed the Terrorist Finance Tracking Program?,498
War_on_Terror,What bill increased restrictions on law enforcement agencies?,499
War_on_Terror,What year was the Terrorist Finance Tracking program discontinued?,500
War_on_Terror,What newspaper uncovered the Patriot Act?,501
War_on_Terror,When did the ACLU first challenge the Patriot Act?,502
